name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Angular,,https://angular.dev/,logos/92caf04ed5584aa5aa8204b1ca69daad4411c6985ca5988f607ea921a5a792ac.svg,,,,,,,,,,,,,,,,,,,,,Category 1,Subcategory 1-0,,,,,,,,,,,,,,,,,,,,,,,,
Apache Airflow,,https://airflow.apache.org/,logos/f08ea0652a3feed8f36af44e830e2b60f989e2d2cd49db27c139f63dd0cbcc6c.svg,,,,,,,,,,,,,,,,,,,,,Category 3,Subcategory 2-0,,,,,,,,,,,,,,,,,,,,,,,,
Application Insights,,https://azure.microsoft.com/en-us/products/monitor,logos/53873d662f25a5e66fca7f5c607b763c201b428040e48f94ab25d154357866d6.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-3,,,,,,,,,,,,,,,,,,,,,,,,
ASP.NET,,https://learn.microsoft.com/en-us/aspnet/core/,logos/be903bdb3a18a1f3f47b2462871ac0c942fc108f38b42478e640df5272824b35.svg,,,,,,,,,,,,,,,,,,,,,Category 1,Subcategory 1-0,,,,,,,,,,,,,,,,,,,,,,,,
Azure Log Analytics,,https://azure.microsoft.com/en-us/products/monitor,logos/b488ef1ec4bad579789ed45d5927580d05570a558a8d797cb8a43057b936226b.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-3,,,,,,,,,,,,,,,,,,,,,,,,
Azure Pipelines,,https://azure.microsoft.com/en-us/services/devops/pipelines/,logos/17f58af52c308aa0bb688f634b08ee0f56934abb3d2e36d517a25de8ae41f5dd.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-1,,,,,,,,,,,,,,,,,,,,,,,,
Blazor,,https://learn.microsoft.com/en-us/aspnet/core/blazor/,logos/a2439d1072b07d0b18187acdf451080b5109ddf885b6db635dc0a333870e2b1f.svg,,,,,,,,,,,,,,,,,,,,,Category 1,Subcategory 1-0,,,,,,,,,,,,,,,,,,,,,,,,
C#,,https://learn.microsoft.com/en-us/dotnet/csharp/,logos/7a19ea0d01e93bd443a8a9ba65448d306ee4221bff300b84ca18d819cdd33ce7.png,,,,,,,,,This is the description of C#,,,,,,,,,,,,Category 1,Subcategory 1-1,,,,,,,,,,,,,,,,,,,,,,,,
Cassandra,,https://cassandra.apache.org/,logos/427fac1462505ac2c0da8de15fc086900befd0640683f27cf84f23db78df18de.svg,,,,,,,,,,,,,,,,,,,,,Category 3,Subcategory 2-2,,,,,,,,,,,,,,,,,,,,,,,,
Concourse,,https://concourse-ci.org/,logos/2cb6c919a7701f840131a498256cf717f03491246eb79a24c44a8d83ef715894.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-1,,,,,,,,,,,,,,,,,,,,,,,,
Couchbase,,https://www.couchbase.com/,logos/35bc98cbe73c448566f7e0375f5a2c1282a1a03d1c1ff16c58c554a3b3d33f99.svg,,,,,,,,,,,,,,,,,,,,,Category 3,Subcategory 2-2,,,,,,,,,,,,,,,,,,,,,,,,
Databricks,,https://www.databricks.com/,logos/6d59a6a492aa5a9e8a4f4e51b729397f3a8f8594d6fa6bd8c7402657b79c571a.svg,,,,,,,,,,,,,,,,,,,,,Category 3,Subcategory 2-2,,,,,,,,,,,,,,,,,,,,,,,,
dbt,,https://www.getdbt.com/product/dbt,logos/29a6b8b03f231358cdb8d9d4232f93684169285317f8215e30f7945b484cfdb1.svg,,,,,,,,,,,,,,,,,,,,,Category 3,Subcategory 2-0,,,,,,,,,,,,,,,,,,,,,,,,
Dependabot,,https://github.com/dependabot,logos/bd369a3c641052bca1191985eb1fd9eebf96d1b2795d8fef6701d3ecd89434c5.png,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-2,,,,,,,,,,,,,,,,,,,,,,,,
Dynatrace,,https://www.dynatrace.com/,logos/b5b8b3d3fb68c6450c082d02a7b585f9333fc2504cd0c2ed01f408960f3c4bc2.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-3,,,,,,,,,,,,,,,,,,,,,,,,
ElasticSearch,,https://www.elastic.co/,logos/ed58818fe6a4b5e24667291bc3cf38e01f980d9be8780a94cfb66d65a926a08d.svg,,,,,,,,,,,,,,,,,,,,,Category 2,Subcategory 2-3,,,,,,,,,,,,,,,,,,,,,,,,
